event,id,t,t_diff,t_end,t_end_recv,t_start
SOCKET_HANDLER_START,NONE,18:00.851883,,,,
SOCKET_ACCEPT,NONE,18:00.851933,,,,
SOCKET_ACCEPT,NONE,18:00.852044,,,,
SOCKET_HANDLER_START,NONE,18:00.852160,,,,
SOCKET_RECV_DONE,NONE,18:00.852216,,,,
SOCKET_RECV_DONE,NONE,18:00.851952,,,,
SOCKET_ACCEPT,NONE,18:00.852334,,,,
SOCKET_HANDLER_START,NONE,18:00.852464,,,,
SOCKET_RECV_DONE,NONE,18:00.852548,,,,
SOCKET_HANDLER_START,NONE,18:00.852367,,,,
SOCKET_RECV_DONE,NONE,18:00.853059,,,,
CreateEPR_backend,x463eqhrg,,0.007878,18:00.864082,,18:00.856204
CreateEPR_notify,x463eqhrg,,0.000123,18:00.864314,,18:00.864191
CreateEPR_total,x463eqhrg,,0.008325,18:00.864348,,18:00.856023
CreateEPR_backend,k63uhnfbd,,0.008405,18:00.864786,,18:00.856381
CreateEPR_notify,k63uhnfbd,,0.000392,18:00.865289,,18:00.864897
CreateEPR_total,k63uhnfbd,,0.009193,18:00.865398,,18:00.856205
ORDER_RECV_EXECUTING,k63uhnfbd,,,,,32:45.717467
SOCKET_ACCEPT,NONE,18:00.867401,,,,
SOCKET_ACCEPT,NONE,18:00.867879,,,,
SOCKET_HANDLER_START,NONE,18:00.867714,,,,
SOCKET_RECV_DONE,NONE,18:00.868989,,,,
SOCKET_HANDLER_START,NONE,18:00.868761,,,,
SOCKET_RECV_DONE,NONE,18:00.869351,,,,
SOCKET_BEFORE_RECV_EPR,k63uhnfbd,18:00.873985,,,,
RECV_ENTER,k63uhnfbd,18:00.874202,,,,
RECV_EPR_START,k63uhnfbd,,,,,18:00.874195
ReceiveEPR,k63uhnfbd,,0.002666,18:00.876861,,18:00.874195
RECV_BEFORE_MONITOR,k63uhnfbd,18:00.876990,,,,
RECV_BEFORE_UPDATE,k63uhnfbd,18:00.877201,,,,
RECV_BEFORE_NOTIFY,k63uhnfbd,18:00.877334,,,,
SOCKET_ACCEPT,NONE,18:00.877685,,,,
SOCKET_ACCEPT,NONE,18:00.877798,,,,
SOCKET_HANDLER_START,NONE,18:00.877931,,,,
SOCKET_RECV_DONE,NONE,18:00.878052,,,,
SOCKET_HANDLER_START,NONE,18:00.878198,,,,
SOCKET_RECV_DONE,NONE,18:00.878398,,,,
SOCKET_ACCEPT,NONE,18:00.878634,,,,
SOCKET_HANDLER_START,NONE,18:00.879019,,,,
SOCKET_RECV_DONE,NONE,18:00.879139,,,,
RECV_TOTAL_no_plots,k63uhnfbd,,0.009159999999837964,,18:00.883355,18:00.874195
SOCKET_ACCEPT,NONE,18:00.884785,,,,
SOCKET_ACCEPT,NONE,18:00.885210,,,,
SOCKET_HANDLER_START,NONE,18:00.885449,,,,
SOCKET_HANDLER_START,NONE,18:00.885103,,,,
SOCKET_RECV_DONE,NONE,18:00.886180,,,,
SOCKET_RECV_DONE,NONE,18:00.886059,,,,
CreateEPR_backend,x463eqhrg,,0.027748,18:00.910246,,18:00.882498
CreateEPR_notify,x463eqhrg,,0.000102,18:00.910489,,18:00.910387
CreateEPR_total,x463eqhrg,,0.028100,18:00.910521,,18:00.882421
